% Model:              model.mph
% Version:            COMSOL 5.2.1.152
% Date:               Oct 30 2017, 15:51
% Dimension:          2
% Nodes:              2180
% Expressions:        1
% Description:        Magnetic vector potential, phi component
% Length unit:        m
% r                       z                        comp1.Aphi (Wb/m)
2.7569933576051926E-18    -0.045025118418220156    -5.716676080496313E-12
5.000255450799767E-18     -0.05                    0
0.003627771814083705      -0.045973300488157814    7.130849890812737E-9
0.004877257763441511      -0.049519632067161       0
2.449293598541585E-18     -0.04000000000000001     0
0.00296695633725837       -0.04270458028787653     1.2709237786916426E-8
0.009754515526883015      -0.04903926413432198     0
0.007775961157334266      -0.0457471957444857      1.4163162691253582E-8
0.014444343311480198      -0.04761662051908082     0
0.011416273984360648      -0.045786392784390686    1.5750421372988984E-8
0.003504262996100945      -0.03967528223285557     2.445490643897089E-8
0.01913417053700643       -0.04619397707343194     0
0.014756898968974686      -0.04363436606855747     3.1206077204901693E-8
0.0073499802795683085     -0.03931892406831546     5.0721138136482405E-8
0.005929097256912778      -0.04271896671286642     2.4077469671462388E-8
0.023456340120895723      -0.04388372949448256     0
0.01891292373727177       -0.04039913224971632     6.197127312248273E-8
0.0144496658257981        -0.03729888949449785     1.0571923616204205E-7
0.01034965095713107       -0.042894517455507465    3.504388538282722E-8
0.027778509704785         -0.0415734819155332      0
0.02359723941940825       -0.03922834250720526     6.03730037299172E-8
0.03156692366740826       -0.03846441122232419     0
0.026781138142802606      -0.03627668275127714     8.770770968059462E-8
0.03535533740422447       -0.03535534071443021     0
0.031100138987439005      -0.03436365493188202     7.637664293344449E-8
0.02105728539128613       -0.03400868612501706     1.6968581199376E-7
0.0384644077092698        -0.0315669281289002      0
0.03330852535174861       -0.03043652820691983     1.2567039870039196E-7
0.02694782444344328       -0.029560357876138116    2.480421640591982E-7
0.04157347801431513       -0.027778515543370175    0
0.036966173984656125      -0.027841420589700284    1.0819087379157191E-7
0.04388372628865449       -0.023456345996904458    0
0.03859152250354828       -0.0235387700560822      1.6678910622037906E-7
0.03192068776361595       -0.02410538721318822     3.444798541977338E-7
0.0461939748340937        -0.01913417594324663     0
0.04139853849419017       -0.020221414395833658    1.495898789686764E-7
0.04761661897048565       -0.014444348317720129    0
0.042034943380997294      -0.015828844275123197    2.219697100169936E-7
0.03580653047585785       -0.01782953659749638     4.5224435044671256E-7
0.0490392631068776        -0.009754520692193628    0
0.04414525986262135       -0.011807901901371006    1.9752806995320994E-7
0.04951963161070307       -0.004877262105351349    0
0.04588568871917477       -0.004526153509509819    1.871240730518479E-7
0.04999999999999979       -4.68133785208602E-9     0
0.03847302488288795       -0.01094652256932239     5.438607757617804E-7
0.044903149152094285      0.0011755478754742008    2.531294360224079E-7
0.04951963292336394       0.004877251118346937     0
0.0398293667265763        -0.003690737888268042    5.865609827386422E-7
0.043558823745465707      -0.007950382978282175    2.865537209408835E-7
0.04903926584672808       0.009754506918031723     0
0.04398940654558972       0.006684440733703916     2.6340074813930865E-7
0.04761662319985834       0.014444334375344224     0
0.04458266697732602       0.01135959922808175      1.6889037894121983E-7
0.03982936741767924       0.003690730430079104     5.690233461121395E-7
0.04619398020850441       0.01913416296826969      0
0.04185010144350368       0.015267581856611177     2.1711699843387682E-7
0.03847302693266209       0.01094651536511309      4.955837909698645E-7
0.04388373301262745       0.023456333417234493     0
0.04135170607475395       0.019799331803424775     1.3991695939597298E-7
0.04157348581675047       0.02777850386619928      0
0.038176875492787504      0.023115659886510917     1.611658791918092E-7
0.03580653381450061       0.01782952989259741      3.880010027678391E-7
0.03846441574824435       0.03156691815255728      0
0.036709030855347415      0.02729258941965967      1.0519375051950245E-7
0.03535534567973823       0.03535533243891528      0
0.033407446448240535      0.02993053924436393      1.1020748764677489E-7
0.03192069227743386       0.02410538123592685      2.817555192763517E-7
0.0315669325577491        0.03846440392620895      0
0.030910125549861563      0.033719456349787305     7.353704803876231E-8
0.0269478299787237        0.02956035283006278      1.970622206871992E-7
0.02777851943575997       0.04157347541350261      0
0.027069425086644994      0.035829887246376445     7.409345056605854E-8
0.02105729175953175       0.03400868218196579      1.329373978629223E-7
0.023456349851999292      0.04388372422806264      0
0.02391148603835617       0.039013878210771805     4.866534771536905E-8
0.014449672810145982      0.0372988867887465       8.240167190825417E-8
0.01939066458748124       0.04038789998109848      4.7705397300207634E-8
0.01913418026823859       0.04619397304262265      0
0.007349987642174882      0.03931892269200514      3.9524604341203484E-8
0.010685680800608534      0.04347372543048651      2.438233726220179E-8
0.01444435277590968       0.047616617618107954     0
0.015717113805594582      0.043567373242921516     2.4163852921964277E-8
