% Model:              coil.mph
% Version:            COMSOL 5.4.0.225
% Date:               Nov 12 2019, 20:02
% Dimension:          3
% Nodes:              1997
% Expressions:        3
% Description:        Magnetic vector potential, x component, Magnetic vector potential, y component, Magnetic vector potential, z component
% Length unit:        mm
% x                       y                        z                        mf.Ax (Wb/m)             mf.Ay (Wb/m)             mf.Az (Wb/m)
-23.999999999999993       1.4695761590474025E-15   -19.193350660159375      5.286236672731282E-6     0.0014960074006703577    2.2589359990777947E-5
-21.007359613599565       2.572659570933208E-15    -20.11243126783518       6.406299781076916E-5     0.0015924977017472424    5.3618719039502494E-5
-24                       1.469576159047403E-15    -23                      4.227037220438515E-5     0.0012623933916898755    1.0075364981185251E-5
-23.886793041776176       2.328329482558988        -20.456408682674574      1.3615167142204634E-4    0.0014350726249854867    -1.0271267291069363E-5
-21.369960503835024       2.5604676010355147       -23                      1.3657094677079848E-4    0.001312635049548697     -4.358299454909229E-5
-19.951972642619506       2.4434119433459536E-15   -22.999999999999996      1.7278076226798917E-5    0.0013172338468945164    7.15714347399204E-6
-18.686413442184616       2.899086498561831        -23                      1.998395958303092E-4     0.0013467445189436129    -7.789202238542102E-6
-21.311079449555677       3.605325364473584        -20.642485290746997      2.500235765262176E-4     0.0015169827570115082    -6.653541472045385E-6
-18.37778303678179        2.250629317141934E-15    -20.511326408565466      1.62026611546488E-5      0.0015477623497393894    4.465836582139821E-5
-17.931537184409578       2.940385414607539        -19.163763328209654      2.5291565166906126E-4    0.00163938559297145      -7.563478375558488E-6
-18.780079960931303       2.299896481188586E-15    -17.82460749843713       2.8736714486441522E-5    0.0018066708125920262    3.2365072701294894E-5
-23.70403302925565        3.754361257717376        -22.999999999999996      2.1826047945517032E-4    0.0012491050733157208    5.6681379350852455E-6
-20.789153147651806       5.109029946636907        -23.000000000000004      3.137323231751242E-4     0.0012832967449875905    -4.072886054370213E-6
-23.999999999999996       1.469576159047403E-15    -15.35485763040737       7.49328278843159E-5      0.0017724827551097357    1.099701730299786E-5
-21.318590207775483       2.610774326028635E-15    -16.649201482822562      5.4173802247988816E-5    0.001835748670552203     3.4320571014173225E-5
-23.853556655218412       2.6472315532052626       -17.31729373901115       1.7546403224777396E-4    0.0016793264145264133    4.391377265044883E-6
-20.05145424013061        3.4327779971072645       -17.653162640230704      3.000210546093251E-4     0.0017577281905703486    -1.1489094953669859E-5
-19.596397412905805       1.633017215103732        -16.082456323293002      1.6029930624828387E-4    0.0018933874040848154    -8.37401375004199E-6
-20.935639931214045       2.98741179728218         -14.498601620438064      2.634347390192818E-4     0.0019213338769658468    3.99446523288663E-6
-19.261050783701975       5.434807108406948        -20.828561898819427      4.311503486632878E-4     0.001491361337198307     2.893559062494311E-6
-17.215563086918177       6.40374861417268         -23                      4.416493748305297E-4     0.0012288044276092037    -2.3931717112985298E-6
-23.27831861737795        5.8412226757619194       -19.521782924110923      3.729308727387072E-4     0.0015075867414077887    -9.139379159634023E-6
-15.999999999999996       9.797174392615376E-16    -23                      2.736925523297845E-5     0.001204440507762781     4.6313568495588206E-5
-15.598824931510032       3.5603280675323785       -23.000000000000004      2.583970115843001E-4     0.0011721564206382438    2.9432797748240268E-5
-15.81162012868854        2.4479928321078117       -20.674364016188605      2.1337420696415738E-4    0.0013685192852671627    -5.012637554648416E-6
-14.415502544082797       6.942136114670927        -23.000000000000004      5.32102495211937E-4      0.0011064976091639913    5.2814179785336305E-6
-15.066448023123403       5.38536386574954         -20.343137864632336      4.695976280169392E-4     0.0013411817844505983    -6.753641218148548E-6
-15.67139128288788        3.226064980533674        -17.236790696777906      3.181999697108536E-4     0.001582612698032061     -2.632002058857086E-6
-17.22785477768681        5.0458104873741005       -17.94695724720838       4.903530590960249E-4     0.0016692220351346738    5.9804495599125275E-6
-15.999999999999993       9.797174392615376E-16    -19.271746918766105      5.441550014059241E-6     0.0015023718033493727    3.525959622786259E-5
-21.34646036120308        2.6141874354473205E-15   -12.792209865556643      6.033713589592492E-5     0.002015090356335561     8.853430120668442E-6
-15.999999999999993       9.797174392615376E-16    -15.420092761570103      1.3238824239445194E-5    0.001709498804798817     2.25469167611286E-5
-17.87420461803613        3.266034430207462        -15.515711163763443      3.4029079656201804E-4    0.0018456751429476704    -6.91404971403148E-6
-18.661329692367005       2.2853537675590708E-15   -14.139208742947853      3.7834288169365646E-5    0.0019638880205953787    1.8388238457295665E-5
-21.327414963820083       2.6118550469529623E-15   -8.945989398885034       6.458547295029262E-5     0.0021320255713002862    2.0029902995638716E-5
-23.999999999999996       1.4695761590474025E-15   -11.516143222830166      6.81818755946977E-5      0.001914851771907247     2.96210515470097E-5
-21.307540496796534       2.0753652852424715       -11.341872782808837      1.9569520295527996E-4    0.002059435941032809     1.334313160587849E-5
-15.696954995941647       3.0992908633076595       -13.378259687296184      3.51228937965987E-4      0.0017537215970560532    -2.1464211029825748E-7
-18.44685977909254        2.7083938411123385       -12.341280791889314      2.944915198347686E-4     0.0020112190434058486    1.4051683441579382E-6
-14.983622250356547       5.6116899645846665       -14.559410667412122      5.975693271262186E-4     0.0016422039192845051    -1.3296980370395673E-5
-22.82534709103498        7.416419715585825        -23                      4.112039287394411E-4     0.0012220115253096433    1.7839775309220778E-5
-19.194597610300374       8.319629194435892        -23.000000000000004      5.15334674365634E-4      0.0012110573642535693    -2.9727417963456307E-5
-17.389433009299037       8.419628688756987        -20.828561898819423      6.886278585583E-4        0.001402148381877296     6.517229409253287E-6
-15.895673667517151       7.694956513436353        -19.075622835339512      7.044947274985584E-4     0.0014814933472420179    -8.402283141525368E-6
-19.328813241918816       9.181335213030081        -20.640338021558513      6.329389529967572E-4     0.0013604078518907286    -6.49278130415938E-6
-17.39545438609299        7.097776796706802        -14.675488437534678      7.372016046189237E-4     0.0018189048547285925    3.5229385445129884E-6
-13.552087217714647       8.50534726177922         -20.03493503640004       7.496928499019251E-4     0.001208337239586757     -9.98656006507535E-7
-15.994547746112334       9.973701383299446        -23                      7.11794379617148E-4      0.001145063674488739     1.7471088111591116E-5
-12.50928893926022        9.975817409591523        -23                      7.449412983607803E-4     9.429316148726604E-4     9.674465501106243E-6
-14.40191432573527        6.970284338115721        -17.3226837718596        7.054522698207769E-4     0.0014544218203487397    5.688571678486257E-6
